周期,日期,指数,指数择时,指数特点,盘前检查,中级周期,情绪节点,大盘指数,微盘指数,日内强势题材,题材档位,,,情绪,,,,是否开仓,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/11/22,"向下杀跌,震荡开",,,是,,退潮,,,锂电池，AI,,,,"单核心反核,无大面",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/11/25,"V杀,震荡开",,,是,,修复--中等,,,"锂电池,AI,新能车",,,,"多核心反核,大面数增加",弱转强,分歧,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/11/26,"宽幅震荡,震荡开",,,是,,退潮,,,IP经济,,,,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/11/27,"向上大阳,V杀,震荡开",,,是,,修复--中等,,,IP经济,,,,"多核心反核,大面数减少",弱转强,分歧,4,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2024/11/28,"A杀,震荡开",,,是,,反弹加速转衰竭,,,"IP经济,消费",,,,"单核心反核,无大面",加速,中规中矩,2,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2024/11/29,"宽幅震荡,震荡开",,,是,,修复--中等,,,消费，金融,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/2,"向上大阳,震荡开",,,是,,反弹加速,,,机器人，海南,,,,"大面数减少,无明显反核",加速,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/3,"V杀,震荡开",,,是,,反弹加速转衰竭,,,机器人，房地产,,,,"单核心反核,大面数增加",分歧,加速,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/4,"向下杀跌,震荡开",,,是,,退潮,,,芯片，机器人，消费,,,,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/5,"宽幅震荡,震荡开",,,是,,修复--中等,,,"机器人,ai",,,,"多核心反核,大面数增加",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/6,"向上大阳,震荡开",,,是,,日内分歧未转一致,,,"低价,ai",,,,"单核心反核,大面数增加",分歧,分歧,1,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/9,"宽幅震荡,震荡开",,,是,,退潮,,,机器人,,,,"单核心反核,大面数增加",弱转强,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/10,"A杀,大高开",,,是,,修复--强,,,机器人,,,,"多核心反核,无大面",加速,中规中矩,3,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/11,震荡开,,,是,,日内分歧转一致,,,上海，消费电子,,,,"单核心反核,大面数增加",分歧,加速,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/12,"向上大阳,震荡开",,,是,,修复--弱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/13,"向下杀跌,大低开",,,是,,退潮,,,消费，字节,,,,"单核心反核,大面数增加",分歧,加速,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/16,宽幅震荡,,,是,,退潮,,,消费，首发,,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/17,宽幅震荡,,,是,,冰点,,,ai,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/18,"A杀,大高开",,,是,,修复--中等,,,"国改,ai,机器人，半导体",,,,"多核心反核,大面数增加",弱转强,加速,4,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/19,"向下阴跌,大低开",,,是,,退潮,,,算力,,,,"大面数减少,无明显反核",分歧,中规中矩,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/20,震荡开,,,是,,混沌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/23,,,,,,退潮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/24,震荡开,,,是,,修复--中等,,,"机器人,算力",,,,"单核心反核,大面数减少",加速,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/25,"宽幅震荡,震荡开",,,是,,退潮,,,机器人，消费,,,,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/26,震荡开,,,是,,修复--强,,,AI硬件,,,,"多核心反核,大面数减少",弱转强,加速,4,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/27,震荡开,,,是,,反弹加速,,,,,,,"单核心反核,大面数减少",加速,分歧,3,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/30,震荡开,,,是,,反弹加速转衰竭,,,AI硬件，消费,,,,"单核心反核,大面数减少",加速,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2024/12/31,"向下杀跌,震荡开",,,是,,修复--弱,,,消费，光伏,,,,"多核心反核,大面数减少",分歧,中规中矩,2,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/2,"向下杀跌,震荡开",,,是,,"高潮,主升--确认",,,消费,,,,"多核心反核,大面数减少",弱转强,中规中矩,3,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/3,"向下杀跌,震荡开",,,是,B,退潮,,,AI眼镜,,,,"多核心反核,大面数减少",分歧,分歧,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/6,"V杀,震荡开",,,是,B,退潮,,,医药，电池,,,,"多核心反核,大面数减少",分歧,分歧,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/7,"V杀,震荡开",,,是,B,修复--中等,,,AI硬，核聚变,,,,"多核心反核,大面数减少",分歧,中规中矩,3,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/8,"V杀,大低开",,,是,B,龙头确认,,,消费，机器人，AI硬件,,,,"多核心反核,大面数减少",分歧,加速,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/9,"宽幅震荡,大低开",,,是,B,加速,,,AI硬件，pcb,,,,"大面数减少,无明显反核",加速,加速,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/10,"宽幅震荡,震荡开",,,是,B,退潮,,,机器人，芯片,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/13,"宽幅震荡,大低开",,,是,B,退潮加速,,,机器人，消费,,,,"单核心反核,大面数增加",弱转强,中规中矩,2,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/14,"向上大阳,震荡开",,,是,B,修复--强,,,机器人，小红书,,,,"多核心反核,大面数减少",加速,加速,4,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/15,"宽幅震荡,震荡开",,,是,B,反弹加速转衰竭,,,机器人，小红书,,,,"无明显反核,无大面",分歧,加速,2,"买入核心,买入1进2试错",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/16,"A杀,大高开",,,是,B,修复--弱,,,机器人，小红书,,,,"单核心反核,无大面",分歧,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/17,"宽幅震荡,震荡开",,,是,B,退潮,,,机器人，芯片,,,,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/20,"A杀,震荡开",,,是,B,退潮,,,AI硬，消费,,,,"无明显反核,大面数增加",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/21,"A杀,大高开",,,是,B,退潮,,,机器人，芯片,,,,"单核心反核,大面数减少",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/22,"向下杀跌,大低开",,,是,B,龙头确认,,,机器人，AI硬,,,,"大面数减少,无明显反核",弱转强,加速,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/23,"A杀,大高开",,,是,B,退潮,,,机器人,,,,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/24,"向上大阳,大低开",,,是,B,修复--中等,,,机器人，AI硬,,,,"多核心反核,大面数增加",分歧,中规中矩,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/1/27,,,,,B,退潮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/5,"A杀,大高开",,,是,B,退潮加速,,,"ds,机器人",,,,"无明显反核,大面数增加",分歧,加速,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/6,"向上大阳,震荡开",,,是,B,修复--强,,,"ds,机器人，无人",,,,"单核心反核,无大面",弱转强,中规中矩,4,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/7,"向上大阳,A杀",,,是,A,"加速,主升--确认",,,"ai硬，无人,ds",,,,"单核心反核,无大面",加速,中规中矩,2,"买入1进2试错,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/10,震荡开,,,是,A,主升--高潮,,,ai硬，ds,,,,"多核心反核,无大面",加速,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/11,"V杀,震荡开",,,是,A,主升--高潮,,,"ds,ai硬件，机器人",,,,"单核心反核,无大面",加速,分歧,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/12,"向上大阳,V杀,震荡开",,,是,A,日内分歧转一致,,,"ds,ai硬件，机器人",,,,"多核心反核,无大面",分歧,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/13,"A杀,震荡开",,,是,A,主升--分歧,,,"ds,阿里，影视",,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/14,"向上大阳,震荡开",,,是,A,修复--弱,,,"ds,医药",,,,"单核心反核,大面数增加",弱转强,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/17,"A杀,大高开",,,是,A,退潮,,,"机器人,医药,ai硬件",,,,"单核心反核,大面数减少",分歧,加速,1,"不开,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/18,"向下杀跌,大低开",,,是,A,退潮加速,,,机器人,,,,"单核心反核,大面数增加",分歧,加速,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/19,"向上大阳,震荡开",,,是,A,修复--中等,,,机器人,,,,"多核心反核,大面数减少",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/20,"A杀,震荡开",,,是,A,修复--加速,,,"AI眼镜，机器人,ds",,,,"单核心反核,无大面",加速,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/21,"向上大阳,V杀,大高开",,,是,A,日内分歧转一致,,,"阿里,ai硬件，机器人",,,,"大面数增加,无大面",分歧,中规中矩,4,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/24,"V杀,震荡开",,,是,B,退潮,,,"ai硬件,机器人",,,,"多核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/25,"A杀,大低开",,,是,B,退潮中继,,,"ai硬件,机器人，消费电子",,,,"多核心反核,大面数增加",分歧,中规中矩,4,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/26,"向上大阳,震荡开",,,是,B,修复--强,,,机器人 ai硬件,,,,"多核心反核,无大面",弱转强,加速,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/27,"V杀,震荡开",,,是,B,日内分歧转一致,,, ai硬件，消费，机器人,,,,"多核心反核,大面数增加",加速,加速,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/2/28,大低开,,,是,B,冰点,,,"芯片，ai硬件,机器人",,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/3,"A杀,大高开",,,是,B,退潮转衰竭,,,固态，ai硬件,,,,"大面数减少,无明显反核",弱转强,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/4,"宽幅震荡,大低开",,止跌阳,是,A,修复--中等,,,"机器人，军飞，半导体,ai硬",,,,"单核心反核,大面数增加",分歧,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/5,震荡开,,共振,是,A,修复--加速,,,ai硬件，机器人,,,,"多核心反核,大面数减少",弱转强,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/6,"向上大阳,大高开",,共振,是,A,修复--高潮,,,"ai应用,机器人，ai硬件",,,,"多核心反核,无大面",分歧,加速,4,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/7,"向下阴跌,大低开",,震荡,是,A,退潮,,,ai应用，机器人，有色,,,,"单核心反核,大面数增加",加速,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/10,"V杀,震荡开",,震荡,是,A,修复--弱,,,ai医疗，机器人,,,,"单核心反核,大面数减少",分歧,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/11,"V杀,大低开",,共振,是,A,修复--中等,,,"ai智能体,机器人",,,,"多核心反核,大面数减少",弱转强,加速,4,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/12,"宽幅震荡,大高开",,箱体上延,是,A,反弹加速转衰竭,,,"ai硬件,机器人",,,,"单核心反核,无大面",分歧,加速,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/13,"V杀,震荡开",,背离,是,A,"退潮,日内分歧转一致",,,"消费,ai硬件",,,,"多核心反核,大面数增加",弱转强,分歧,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/14,"向上大阳,震荡开",,共振,是,A,退潮转衰竭,,,生育，消费，金融,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/17,"宽幅震荡,震荡开",,震荡,是,A,修复--弱,,,"生育，海工,机器人",,,,"单核心反核,大面数减少",分歧,分歧,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/18,"宽幅震荡,大高开",,震荡,是,A,日内分歧转一致,,,"ai硬件，机器人,充电庄",,,,"单核心反核,大面数减少",分歧,分歧,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/19,"宽幅震荡,震荡开",,震荡,是,A,混沌分歧,,,"机器人,军工",,,,"无明显反核,大面数增加",分歧,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/20,"A杀,震荡开",,背离,是,A,修复--中等,,,"机器人,海洋，ai硬件",,,,"多核心反核,大面数减少",弱转强,中规中矩,4,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/21,"向下杀跌,震荡开",,背离,是,D,退潮,,,海洋，机器人,,,,单核心反核,分歧,中规中矩,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/24,"V杀,震荡开",,金针探底,是,D,退潮,,,海洋，机器人,,,,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/25,"宽幅震荡,震荡开",,金针探底,是,D,退潮转衰竭,,,"核聚变,机器人，化工",,,,"单核心反核,大面数增加",分歧,加速,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/26,"宽幅震荡,震荡开",,震荡,是,D,修复--中等,,,"海洋,机器人，化工",,,,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/27,"宽幅震荡,震荡开",,震荡,是,D,退潮,,,"芯片,机器人，化工",,,,"单核心反核,大面数增加",分歧,分歧,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/28,"V杀,震荡开",,背离,是,D,退潮,,,芯片，机器人，ai硬件,,,,"单核心反核,大面数减少",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/3/31,"V杀,大低开",,背离,是,B,退潮转衰竭,,,机器人，AI硬件,,,,"单核心反核,大面数增加",弱转强,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/1,"A杀,震荡开",,背离,是,B,修复--中等,,,"医药,核聚变，化工",,,,"多核心反核,大面数减少",分歧,中规中矩,3,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/2,"A杀,震荡开",,背离,是,B,混沌分歧,,,机器人，光刻机,,,,"多核心反核,大面数减少",弱转强,分歧,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/3,"宽幅震荡,大低开",,背离,是,B,修复--弱,,,医药，消费，化工,,,,"多核心反核,大面数减少",分歧,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/7,"向下杀跌,大低开",,背离,是,B,冰点,,,"消费,农业",,,,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/8,"向上大阳,震荡开",,止跌阳,是,A,修复--中等,,,"消费,农业",,,,"多核心反核,大面数减少",分歧,加速,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/9,"V杀,大低开",,共振,是,A,日内分歧转一致,,,军工，芯片，机器人,,,,"无明显反核,大面数增加",弱转强,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/10,"向上大阳,大高开",,共振,是,A,主升--确认,,,自贸区物流，消费，机器人,,,,"单核心反核,无大面",分歧,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/11,"宽幅震荡,震荡开",,震荡,是,A,主升--分歧,,,芯片，消费,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/14,"向上大阳,大高开",,共振,是,A,修复--中等,,,核聚变，消费，跨境，海南,,,,"多核心反核,无大面",分歧,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/15,"宽幅震荡,震荡开",,震荡,是,A,主升--分歧,,,芯片，消费,,,,"单核心反核,大面数增加",加速,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/16,"V杀,震荡开",,震荡,是,A,修复--中等,,,跨境，消费,,,,"单核心反核,大面数减少",弱转强,中规中矩,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/17,"宽幅震荡,大低开",,共振,是,A,主升--延续,,,消费，ai硬件，化工，地产,,,,"单核心反核,无大面",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/18,"宽幅震荡,大低开",,震荡,是,A,日内分歧转一致,,,"消费,5G ,海洋",,,,"单核心反核,大面数增加",分歧,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/21,"向上大阳,震荡开",,共振,是,A,修复--中等,,,消费，跨境，黄金，飞机,,,,"多核心反核,大面数减少",加速,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/22,"向上大阳,震荡开",,共振,是,A,日内分歧转一致,,,消费，跨境,,,,"多核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/23,"向下阴跌,大高开",,震荡,是,A,主升--分歧,,,消费，跨境，机器人,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/24,"A杀,震荡开",,震荡,是,A,修复--中等,,,机器人，跨境，医药,,,,"多核心反核,大面数减少",弱转强,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/25,"A杀,震荡开",,震荡,是,A,主升--分歧,,,消费，电力,,,,"多核心反核,大面数减少",加速,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/28,"V杀,震荡开",,震荡,是,B,退潮,,,电力,,,,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/29,"宽幅震荡,大低开",,震荡,是,B,修复--弱,,,化工，AI硬件 机器人,,,,"单核心反核,大面数增加",分歧,分歧,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/4/30,"向下阴跌,震荡开",,背离,是,B,混沌,,,机器人，消费，AI硬,,,,"单核心反核,大面数减少",分歧,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/6,"向上大阳,大高开",,共振,是,B,修复--强,,,机器人，核电，AI硬件,,,,"多核心反核,大面数减少",弱转强,中规中矩,3,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/7,"A杀,大高开",,共振,是,B,日内分歧转一致,,,机器人，化工，军工,,,,"多核心反核,无大面",加速,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/8,"向上大阳,大低开",,共振,是,B,主升--分歧,,,"机器人,军工，磁悬浮",,,,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
